frequency_hz,decibels
7452.944336,92.622
7506.951172,93.639
7561.350098,94.276
7616.142578,94.366
7671.332031,93.863
7726.921875,93.93
7782.914551,93.949
7839.3125,94.983
7896.119629,95.202
7953.337891,94.789
8010.971191,94.671
8069.021973,94.389
8127.493164,94.195
8186.388672,95.535
8245.710938,96.397
8305.461914,96.089
8365.647461,96.395
8426.267578,96.761
8487.328125,97.126
8548.831055,98.933
8610.779297,99.513
8673.176758,98.603
8736.026367,98.329
8799.331055,99.275
8863.094727,99.863
8927.320312,99.594
8992.010742,98.209
9057.170898,96.864
9122.802734,95.314
9188.910156,94.939
9255.49707,93.845
9322.566406,93.129
9390.121094,91.837
9458.166016,90.262
9526.704102,90.567
9595.738281,90.22
9665.273438,90.297
9735.311523,89.034
9805.857422,88.886
9876.915039,90.395
9948.487305,90.275
10020.57813,91.451
10093.19141,90.845
10166.33106,92.448
10240,93.974
10314.20313,95.005
10388.94434,96.58
10464.22656,97.721
10540.05469,99.544
10616.43262,98.918
10693.36328,98.631
10770.85254,98.145
10848.90234,96.625
10927.51758,95.856
11006.70313,95.134
11086.46191,94.636
11166.79883,93.737
11247.71875,93.629
11329.22363,93.208
11411.32031,93.142
11494.01172,93.707
11577.30176,92.517
11661.19531,92.492
11745.69727,92.681
11830.81152,92.458
11916.54297,91.638
12002.89453,91.826
12089.87305,91.336
12177.48047,90.944
12265.72363,88.49
12354.60645,88.441
12444.13281,88.965
12534.30859,86.35
12625.13672,85.523
12716.62402,85.276
12808.77344,83.81
12901.5918,84.225
12995.08203,84.646
13089.25,86.921
13184.09961,83.858
13279.63672,85.185
13375.86719,84.949
13472.79395,84.666
13570.42285,83.843
13668.75977,83.99
13767.80957,85.999
13867.57715,83.341
13968.06738,84.635
14069.28516,84.748
14171.23731,82.821
14273.92773,84.859
14377.36231,84.813
14481.54688,83.719
14586.48633,84.814
14692.18555,85.682
14798.65137,87.899
14905.88867,90.189
15013.90234,91.551
15122.7002,91.98
15232.28516,92.243
15342.66406,92.426
15453.84375,92.157
15565.8291,91.625
15678.625,91.111
15792.23926,91.292
15906.67578,89.997
16021.94238,90.957
16138.04395,89.046
16254.98633,89.878
16372.77734,89.6
16491.42188,90.085
16610.92383,89.829
16731.29492,90.561
16852.53516,90.14
16974.65625,90.568
17097.66211,90.312
17221.55859,90.975
17346.35352,89.67
17472.05273,89.047
17598.66211,86.486
17726.18945,85.497
17854.64063,84.436
17984.02148,85.04
18114.3418,85.537
18245.60547,86.668
18377.82031,86.815
18510.99414,88.461
18645.13281,88.581
18780.24219,90.377
18916.33203,90.548
19053.4082,90.528
19191.47656,89.627
19330.54688,88.386
19470.62305,88.862
19611.71484,88.028
19753.83008,88.108
19896.97461,86.154
